



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
7805;"Centro de Turismo Plaza Mayor";"Madrid cuenta en el Salón de Columnas de la Casa de la Panadería de la céntrica Plaza Mayor con uno de los más modernos centros turísticos del país que ofrece atención especializada con una plantilla de profesionales expertos en turismo e idiomas que atiende personalmente a los visitantes y da respuesta también a todas las peticiones de información que se realizan de manera no presencial.  Centro de turismo cofinanciado por el Fondo Europeo de Desarrollo Regional.";"Horario de atención al público de 9:30 a 21:30 horas, todos los días del año.";"Atención presencial  / Especial idiomas asiáticos y ruso   Atención especializada    Autoconsulta    Tienda de Madrid    Accesibilidad:    Lengua de Signos Española    Bucles magnéticos (3)    Encaminamientos podotáctiles    Apoyos isquiáticos    Plano háptico    Mostrador adaptado    Guía de Turismo Accesible (en CD)      Área tecnológica: A udiovisuales";"Metro: Sol (líneas 1, 2, 3), Ópera (línea 2, 5, Ramal)  Bus: 3, 5, 6, 15, 17, 18, 20, 23, 31, 32, 35, 50, 51, 52, 53, 65, 150  Renfe: Sol";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b0a093e5fd61c010VgnVCM1000000b205a0aRCRD";"MAYOR";"PLAZA";"V";"27";"";"";"";"Casa de la Panadería";"MADRID";"MADRID";"28012";"SOL";"CENTRO";"440092";"4474361";"40.41583855082183";"-3.7074257084323636";"915 787 810                          ";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
5631196;"Punto de Información Turística Aeropuerto Adolfo Suárez Madrid -  Barajas Terminal 2 (Entre salas 5 y 6)";"";"Abierto durante todo el año ofrece todo lo que el visitante necesita para disfrutar de su estancia.  Horario de atención al público de 8 a 21:30 horas, todos los días del año.";"Atención presencial  Autoconsulta  Audiovisuales";"Metro: Aeropuerto T2 (línea 8)  Bus: 200 y autobús Express aeropuerto";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=88dfad2e06ea7210VgnVCM2000000c205a0aRCRD";"HISPANIDAD";"AVENIDA";"V";"0";"";"";"";"Aeropuerto de Barajas. Salas 5 y 6";"MADRID";"MADRID";"28042";"AEROPUERTO";"BARAJAS";"450422";"4478287";"40.45188738242834";"-3.5859807207200376";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
178759;"Punto de Información Turística Aeropuerto Adolfo Suárez Madrid - Barajas Terminal 4 (Sala 10)";"";"Abierto durante todo el año ofrece todo lo que el visitante necesita para disfrutar de su estancia.  Horario de atención al público de 8 a 21:30 horas, todos los días del año.";"Atención presencial  Autoconsulta  Audiovisuales  Acceso adaptado";"Metro: Aeropuerto T 4 (línea 8)  Bus: 200 y Exprés Aeropuerto  Renfe: Aeropuerto T 4";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8f871c7a2c61c010VgnVCM1000000b205a0aRCRD";"HISPANIDAD";"AVENIDA";"V";"0";"";"";"";"Aeropuerto de Barajas. Salas 10";"MADRID";"MADRID";"28042";"AEROPUERTO";"BARAJAS";"450422";"4478287";"40.45188738242834";"-3.5859807207200376";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
10085167;"Punto de Información Turística. Atocha (junto al museo Reina Sofía)";"Punto de Información Turística cofinanciado por el Fondo Europeo de Desarrollo Regional.";"Abierto durante todo el año ofrece todo lo que el visitante necesita para disfrutar de su estancia.  Horario de atención al público de 9:30 a 20:30 horas, todos los días del año.";"Atención Presencial  Audiovisuales  WIFI Gratuita  Bucle magnético";"Metro: Atocha (Línea 1)  Bus: 351, 352, 353  Renfe: Largo recorrido, AVE y cercanías";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8321a9a7e3525510VgnVCM2000001f4a900aRCRD";"ATOCHA";"RONDA";"V";"1";"";"";"";"junto al museo Reina Sofía";"MADRID";"MADRID";"28012";"PALOS DE MOGUER";"ARGANZUELA";"441209";"4473391";"40.40718011197082";"-3.6941708773769997";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7050847;"Punto de Información Turística. Centrocentro";"El espacio de exposiciones CentroCentro, en el Palacio de Cibeles (actual sede del Ayuntamiento de Madrid y antiguo Palacio de Correos) alberga un punto de información turística especializado en información artística y cultural, en pleno Paseo del Arte.";"De martes a domingo de 10 a 20 horas  Cerrado todos los lunes, 1 y 6 de enero, 1 de mayo y 24, 25 y 31 de diciembre  5 de enero abierto de 10 a 14 horas";"Atención presencial  Autoconsulta  Audiovisuales  Acceso adaptado";"Metro: Banco de España (línea 2)  Bus: 1, 2, 5, 9, 10, 15, 20, 27, 34, 37, 45, 51, 52, 53, 74, 146, 150, 202  Renfe: Recoletos";"Descripción monumental    Arquitecto:  Jacques Marquet (1760 - 1768)  Construido para sede central del Correo. Su estilo es del barroco más clásico. Destaca la combinación de materiales, del ladrillo y la piedra con el hierro labrado del balcón y los detalles escultóricos de Antonio Primo. La torrecilla del reloj data del siglo XIX, y fue regalo del relojero Losada.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=81c63eebd56ff310VgnVCM2000000c205a0aRCRD";"CIBELES";"PLAZA";"V";"1";"";"";"";"Palacio de Cibeles";"MADRID";"MADRID";"28014";"LOS JERONIMOS";"RETIRO";"441386";"4474703";"40.419011767401095";"-3.692206111679657";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
10085202;"Punto de Información Turística. Estadio Santiago Bernabéu";"Punto de Información Turística cofinanciado por el Fondo Europeo de Desarrollo Regional.";"Abierto durante todo el año ofrece todo lo que el visitante necesita para disfrutar de su estancia.  Horario de atención al público: de 9:30 a 20:30 horas, todos los días del año.";"Atención Presencial  Audiovisuales  WIFI Gratuita  Bucle magnético";"Metro: Santiago Bernabeu (línea 10)  Bus: 27, 40, 126, 147 y 150";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2da4a9a7e3525510VgnVCM2000001f4a900aRCRD";"CASTELLANA";"PASEO";"V";"138";"";"";"";"junto al Estadio Santiago Bernabéu";"MADRID";"MADRID";"28046";"EL VISO";"CHAMARTIN";"441593";"4478303";"40.451465916355055";"-3.69008606793658";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
10085398;"Punto de Información Turística. Paseo del Prado";"Punto de Información Turística cofinanciado por el Fondo Europeo de Desarrollo Regional.";"Abierto durante todo el año ofrece todo lo que el visitante necesita para disfrutar de su estancia.  Horario de atención al público de 9:30 a 20:30 horas, todos los días del año.";"Atención presencial    Audiovisuales   WIFI Gratuita  Bucle magnético  Punto de venta de la tarjeta Madrid Card y del Madrid City Tour (Solo pago con tarjeta de crédito)";"Metro: Banco de España (línea 2)  Bus: 10, 14, 27, 34, 37, 45, N9, N10, N11, N12, N13, N14, N15, N17 y N25";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1f6bdae9bb525510VgnVCM2000001f4a900aRCRD";"NEPTUNO";"PLAZA";"V";"1";"";"";"";"FRENTE AL MUSEO DEL PRADO";"MADRID";"MADRID";"28014";"LOS JERONIMOS";"RETIRO";"441386";"4474466";"40.41688576337496";"-3.692184322678944";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
171082;"Punto de Información Turística. Plaza de Callao";"Punto de Información Turística cofinanciado por el Fondo Europeo de Desarrollo Regional.";"Abierto durante todo el año ofrece todo lo que el visitante necesita para disfrutar de su estancia.  Horario de atención al público de 9:30 a 20:30 horas, todos los días del año.";"Atención Presencial  Audiovisuales  WIFI Gratuita  Bucle magnético   Punto de venta de la tarjeta Madrid Card y del Madrid City Tour (solo pago con tarjeta de crédito)";"Metro: Callao (líneas 1, 3, 5)  Bus: 1, 2, 44, 46, 74, 75, 146, 147, 148, 133 y 202";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=acf029ea9281c010VgnVCM1000000b205a0aRCRD";"CALLAO";"PLAZA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28013";"SOL";"CENTRO";"440205";"4474794";"40.41974735763767";"-3.7061346665078845";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
4629416;"Punto de Información Turística. Recoletos-Colón";"Punto de Información Turística cofinanciado por el Fondo Europeo de Desarrollo Regional.";"Abierto durante todo el año ofrece todo lo que el visitante necesita para disfrutar de su estancia.   Horario de atención al público de 9:30 a 20:30 horas, todos los días del año.";"Atención Presencial  Audiovisuales  WIFI Gratuita  Bucle magnético";"Metro: Colón ( línea 4)  Bus: 5,14, 27, 37, 45, 53, 150  Renfe: Recoletos ( líneas: C1, C7, C2, C8, C10 y regional)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d4f94e40c7294110VgnVCM1000000b205a0aRCRD";"RECOLETOS";"PASEO";"V";"23";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"441391";"4475101";"40.422597498148065";"-3.6921839265043257";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 

